문장,유형,극성,시제,확실성,label
우리나라의 현실은 이런것.,대화형,미정,현재,불확실,대화형-미정-현재-불확실
"이달 24 ~ 24일 ( LA ), 스페인 바르셀로나에서 열리는 국내최대 모바일 전시회 모바일월드 콩그레스 ( 현지 ) 에 참가하는 국내 팬클럽도 있을 것으로 보인다.",예측형,부정,현재,불확실,예측형-부정-현재-불확실
"인공지능이 바리스타와 바둑이 돼 사람들을 사방으로 내몰고 있는 지금, 인도주의는 어디에 있는가?",대화형,미정,현재,불확실,대화형-미정-현재-불확실
"조선일보, 조선일보만큼 유명한 곳은 어디일까요?",대화형,미정,현재,불확실,대화형-미정-현재-불확실
백종원의 골목식당?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
결국 국내 은행에서 본격적으로 한국 부동산 장사에 다시 투자할 것이고. 외국인 사업가들은 한국 영업사를 더 이상 팔 수 없을 듯.,예측형,부정,미래,불확실,예측형-부정-미래-불확실
아. 어찌 부인의 필치라고 이렇게 다뤄써야 되겠는가.,대화형,부정,현재,불확실,대화형-부정-현재-불확실
＂ 한 임신부가 출산 후 신생아를 코로나를 전염시킬 수 있나? ＂,대화형,미정,미래,불확실,대화형-미정-미래-불확실
"하지만, 이 신경 가소동적인가.",대화형,미정,미래,불확실,대화형-미정-미래-불확실
＂ 성동구촌으로 성동경찰으로 옮겨 왕십리광장과 왕십리경찰 일대로 큰 타운을 조성할 계획이?!,대화형,미정,미래,불확실,대화형-미정-미래-불확실
또 어찌 부인이 마땅히 할 말이 없다고 하여 책 구매할려나.,대화형,부정,과거,불확실,대화형-부정-과거-불확실
그러나 20세기대에 미국인을 가장 큰 공포로 몰아넣었던 것은 1929년도의 대공황 때문이 아니었을까?,대화형,미정,과거,불확실,대화형-미정-과거-불확실
제7호 태풍'메이삭 ( KYUCK )'은 2일부터 3일까지 전국에 바람이 강하게 부면 일부 지역에 400㎜ 이상의 물폭탄이 쏟아질 것으로 예상된다.,예측형,미정,미래,불확실,예측형-미정-미래-불확실
"정보화 시대에 의해 아침에 일어나 죽을 때까지 화면에서 뇌로 정보를 전달받으며 정보의 홍수 속에서 생활한다. 낮에 흐르는 다양한 내용의 주제가 정말 많은 뇌 속에 있는 것일까, 아니면 정보일까?",대화형,미정,현재,불확실,대화형-미정-현재-불확실
"정보화 시대에 의해 아침에 일어나 죽을 때도 화면에서 뇌로 정보를 전달받으며 정보는 화면 속에서 존재한다. 낮에 흐르는 다양한 내용의 주제가 정말 내 영화 속에 있는 것일까, 아니면 정보일까?",대화형,미정,현재,불확실,대화형-미정-현재-불확실
송 큐레이터는 지인의 작품 소유 정리에 성공한거 아닌가?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
그래도 막상 그곳을 건드렸다면 부끄럽지 않을까.,대화형,미정,현재,불확실,대화형-미정-현재-불확실
"박진영 교수는 ＂ 세상에는 전무하다시피 LP지 않는 세어리코리 시장이 본격 가동되어 중소형 M & A가 활발해질 수 있다는 세제 시스템이 뒷받침된다면,벤처붐은 지속될 수 있을 것 ＂ 고 내다봤다.",예측형,미정,현재,불확실,예측형-미정-현재-불확실
""" 이번에 개발한 코로나19 의 끝은 무엇인가요? ＂",대화형,미정,현재,불확실,대화형-미정-현재-불확실
"숙박 O2D ( Online to Offline "" 플랫폼 업계 1, 2위 야놀자, 요기요는? M은 작년에 나란히 인수 합병했다.",예측형,미정,미래,불확실,예측형-미정-미래-불확실
갑자기 아파트가 기웃거리는 이유는 왜일까.,대화형,미정,현재,불확실,대화형-미정-현재-불확실
"숙박 O2O(Online to Offline) 플랫폼 업계 1, 2위 야놀자, 요기요는? M은 작년에 나란히 인수 합병했다.",예측형,미정,미래,불확실,예측형-미정-미래-불확실
"시베리아 역공의 사건처럼 우리가 이미 알고 있던 감염병, 이 모든 감염병은 동물을 통해, 또는 직접 접촉을 하면 전 세계로 확산될 수 있다.",대화형,미정,미래,불확실,대화형-미정-미래-불확실
뭐가 영화일까요.,대화형,미정,현재,불확실,대화형-미정-현재-불확실
불청이 불용서를 이전으로 왕십리경찰으로 고위층에 상권으로 확장할 계획인가. ＂,대화형,미정,미래,불확실,대화형-미정-미래-불확실
공짜 돈을 주는 것에 반대할 도민들이 있나요.,대화형,미정,현재,불확실,대화형-미정-현재-불확실
"특히, 소나기가 내리는 지역에선 돌풍과 함께 천둥 · 화산가 치고 중부내륙 지역을 중심으로 우결 떨어지는 경우도 있겠다.",예측형,미정,미래,불확실,예측형-미정-미래-불확실
＂ 5G와 AI ( AI ) 의 진화로 가져올 미래는 어떤 모습일까?.,대화형,미정,미래,불확실,대화형-미정-미래-불확실
그렇다면 국회의원은 지역구가 민원 창구라는 말 아닌가?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
평양이 핵들 중심으로 돌풍과 함께 화산 · 기름을 치는 곳이지.,예측형,미정,미래,불확실,예측형-미정-미래-불확실
혹시 티아라의 대해 오래 전에 잊어버렸나요?,대화형,미정,과거,불확실,대화형-미정-과거-불확실
"이달 24 ~ 27일 ( 현지 ), 스페인 바르셀로나에서 열리는 국내최대 모바일 전시회 모바일월드 콩그레스 ( 현지 ) 에 참가하는 국내 기업들도 줄어들 것으로 보인다.",예측형,부정,현재,불확실,예측형-부정-현재-불확실
""" 청년 일자리 "" 의 증가를 비판하는 것에 놀라지 않았나요? ＂",대화형,부정,현재,불확실,대화형-부정-현재-불확실
불안과 위험한 욕망이 내 뇌에의 위험함과 고통을 생각하게 만들 때 미래세계는 뭐가 될까?,대화형,미정,미래,불확실,대화형-미정-미래-불확실
한편 17일 낮 기온은 전날에 비해 5 ~ 6도 안팎까지 올라 평년보다 조금 낮겠다.,예측형,미정,미래,불확실,예측형-미정-미래-불확실
불안하고 혼란스러운 삶과 어린 뇌인으로 하여금 편리함과 죽음을 선택하게 만드는 미래 사회는 과연 어떠한 생각일까.,대화형,미정,미래,불확실,대화형-미정-미래-불확실
""" 앞으로 마약 유통 계획은 어떻게 되나요? ＂",대화형,미정,현재,불확실,대화형-미정-현재-불확실
그러면 왜 정통불교의 레이어트릴은 항암제로 인정하지 않으려는 것일까,대화형,부정,현재,불확실,대화형-부정-현재-불확실
왜 그것이 나만 불편한 생각일까?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
아무리 동내장 진단을 받았어도 입원 치료가 받을 만큼 특별한 상황이었음을 입증하지 못하면 1주일 이상의 진단을 받기 어려울 전망이다.,예측형,부정,미래,불확실,예측형-부정-미래-불확실
""" 아기 "" 나 신생아 씨는 어떤가요. ＂",대화형,미정,현재,불확실,대화형-미정-현재-불확실
토론토 블루제이스의 첫 목표로 2020년 메이저리그에 선발 등판하는 류현진 ( 33 ) 의 올해 성적표는 어떨까.,대화형,미정,미래,불확실,대화형-미정-미래-불확실
"금요일인 1주일은 밤마다 구름가 많다 시간이 흐려져 낮과 밤 사이 서울의 경기 진주, 강원 중남과 내륙 · 충청과 전북 동부, 전남 진주,등 서부에 비가 오는 이유가 있겠다.",예측형,미정,미래,불확실,예측형-미정-미래-불확실
"B9호 태풍, 메이킹 ( KKUCK )'만 2일부터 3일 동안 전국에 태풍이 강하게 퍼지는 일부 지역에 400 10배 이상의 물벼락을떨어질 것이 예상된다.",예측형,미정,미래,불확실,예측형-미정-미래-불확실
"그렇다면, 그 중 어떤 온천이 가장 효과적이었을까여?",대화형,미정,과거,불확실,대화형-미정-과거-불확실
＂ 확진 임신부가 태아나 신생아랑 다 전염시킬 수 있나요? ＂,대화형,미정,미래,불확실,대화형-미정-미래-불확실
신종 코로나바이러스 확증 ( 우한 폐렴 ) 을 처리하여 문화를 정상화해야 하는 중국이 미국과 합작한 2000억달러 ( 약 231조원 ) 규모의 추가 구매를 제대로 이행하기는 힘든 것으로 보인다.,예측형,부정,미래,불확실,예측형-부정-미래-불확실
백단장 진단을 받더라도 정신과치료를 받는만큼 특별한 상황이라는 것을 증명하지 못하면 30만원 이상의 치료을 받기 어려울 것으로 예상된다.,예측형,부정,미래,불확실,예측형-부정-미래-불확실
남한 경제력의 5분의 1에 불과한 북한 주민들이 과연 인구 위기에 놓인 남한의 마지막 희망일까.,대화형,미정,미래,불확실,대화형-미정-미래-불확실
＂ 5G와 AI ( 과학 ) 의 콜라보로 가져올 미래는 어떤 모습일까?.,대화형,미정,미래,불확실,대화형-미정-미래-불확실
어떤 종류의 스윙스?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
""" 기존 음식과 다른 제품은 뭘까요? """,대화형,미정,현재,불확실,대화형-미정-현재-불확실
일본 관광산업이 당면한 문제의 해결책을 한일관계로 찾아보는 것은 어떨까.,대화형,미정,미래,불확실,대화형-미정-미래-불확실
국보 1호의 이 현판은 누가 넘나요 ~,대화형,미정,과거,불확실,대화형-미정-과거-불확실
어린애들까지 1인당 10만원씩 나눠 쓴다고 과연 얼마나 소비 진작 효과가 생길까.,대화형,미정,미래,불확실,대화형-미정-미래-불확실
한편 17일 낮 기온 개봉 전날이면 3. 5도 아래로 올라 평년 수준이 조금 높겠다.,예측형,미정,미래,불확실,예측형-미정-미래-불확실
그렇다면 우리나라 전통 의학은 마약 트릴을 항암제로 인식되지 않을까요?,대화형,부정,현재,불확실,대화형-부정-현재-불확실
"하지만, 뇌가소성(neuro-plasticity)의 효과일까.",대화형,미정,미래,불확실,대화형-미정-미래-불확실
"이튿날년 18일 아침최저기온 날이 19 ~ 23일인데, 낮뜨기억은 26 ~ 32로 기록할 전망이다.",예측형,미정,미래,불확실,예측형-미정-미래-불확실
남자와 여자가 대화가 될 수 있을까요?,대화형,미정,미래,불확실,대화형-미정-미래-불확실
＂임신부가 감염되면 임신 경과에 어떤 영향을 미치나?＂,대화형,미정,미래,불확실,대화형-미정-미래-불확실
＂ 유산된 산모와 신생아가 같이 방에서 있을수도 있던데.?,대화형,미정,미래,불확실,대화형-미정-미래-불확실
이런을 받을 만한 종목은 어떤 부분이 있을까요?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
미국의 전통 의학은 층종을 소재로 사용하지 않을까요?,대화형,부정,현재,불확실,대화형-부정-현재-불확실
""" 환자의 입장에서 편의성과 안전성이 필요 어떨까? """,대화형,미정,현재,불확실,대화형-미정-현재-불확실
저 지역은 안개처럼 짙게 닮은 곳이 있겠죠.,예측형,미정,미래,불확실,예측형-미정-미래-불확실
코로나19 확진 진단을 받았는데 일반인도 마스크를 구매해야 할까? ＂,대화형,미정,현재,불확실,대화형-미정-현재-불확실
연예인들 1명당 10만원씩 나눠주는 소비는 이유가 있다.,대화형,미정,미래,불확실,대화형-미정-미래-불확실
대뇌 작전이라지만 전쟁을 불사 할 정도로 그렇게 긴박한 상황이었을까.,대화형,미정,과거,불확실,대화형-미정-과거-불확실
토론토 블루제이스 1회발로 2020년 메이저리그를 시작하는 류현진 ( 33 ) 의 올해 성적표는 어떨까?,대화형,미정,미래,불확실,대화형-미정-미래-불확실
송 큐레이터는 지인들과 작품 소유 정리에 실패한 것 같은데?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
그렇다면 조선군은 피나는 약쟁이였을까?,대화형,미정,과거,불확실,대화형-미정-과거-불확실
"""확진된 산모와 신생아가 같은 방에서 지낼 수 있을까요?＂",대화형,미정,미래,불확실,대화형-미정-미래-불확실
영화이 흔들리는 이유가 무엇인가.,대화형,미정,현재,불확실,대화형-미정-현재-불확실
한일 관광전쟁이 직면한 문제의 해법을 한일 협력국에서 찾아보는 것은 어떨까.,대화형,미정,미래,불확실,대화형-미정-미래-불확실
"The O2O, Onic to Offline, 영어 기반의 "" 으로 현재 1, 2를 차지하고 있고 야부키도 떨어질 때 이미 한 해의 인수, 합병 ( M - A ) 를 통해 몸집을 높이거나 비중을 잡고 나감에서 향후 이들의 영향력이 더욱 막강해질 전망이다.",예측형,미정,미래,불확실,예측형-미정-미래-불확실
우리나라 문화산업이 당면한 데 해결책을 외국 여행로 찾아보는 것은 어떨까.,대화형,미정,미래,불확실,대화형-미정-미래-불확실
＂ 향후 아이돌 보급형인가? ＂,대화형,미정,현재,불확실,대화형-미정-현재-불확실
가장 주목할 만한 작품으로는 어느 것이든.,대화형,미정,현재,불확실,대화형-미정-현재-불확실
이유가 머죠?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
독일의 베네딕토 16호와 영국과 영국 교황에게 무슨 일이 일어났을까.,대화형,미정,과거,불확실,대화형-미정-과거-불확실
17년 뒤면 경기경기와 서울 지방의대에서 갈 수 있겠다.,예측형,미정,미래,불확실,예측형-미정-미래-불확실
침대는 어디인가요?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
제월호 태풍 마이삭 ( MAYSAK ) 이 오는 2 ~ 3일 전국에 강한 바람과 함께 일부 폭발의 400㎜ 이상의 물폭탄이 시작된다!,예측형,미정,미래,불확실,예측형-미정-미래-불확실
＂ 등록된 영아탕과 침구류는 재사용이 되는 건가요? ＂,대화형,미정,미래,불확실,대화형-미정-미래-불확실
"이 관계자는 "" 국내에 그런 게 없다 보니 LP와 2차 시장이 본격 가동되고 있고, 현재 M이 본격 생산되고 있다 "" 고 말했다.",예측형,미정,현재,불확실,예측형-미정-현재-불확실
"""네트워크를 업그레이드할 때마다, 새로운 시즌마다 고객들에게 또 다른 서비스를 제공해야 하지 않을까요?＂",대화형,미정,미래,불확실,대화형-미정-미래-불확실
"정보화 시대에는 아침에 일어나 바뀌어서 화면에서 뇌로 정보를 전달받으며 타인의 공간 속에서 존재한다. 낮에서 이루어지는 모든 순간의 대화가 모두 내 공간 속에 있는 것일까, 아니면 정보인가?",대화형,미정,현재,불확실,대화형-미정-현재-불확실
그러면 그중에서 가장체험이 좋았던 그곳은 어디일까?,대화형,미정,과거,불확실,대화형-미정-과거-불확실
"금요일인 17일은 밤부터 구름이 많다가 흐려져 낮부터 밤 사이 서울과 경기 진주, 강원 중남부 내륙, 충청과 전북 진주, 전남 진주, 경상 서부에 소나기가 오는 곳이 있겠다.",예측형,미정,미래,불확실,예측형-미정-미래-불확실
"장마 · 여름 · 여름의 일시적 고장으로 승용차 고장률도 낮아졌고, 추위가 찾아오며 여름을 미뤄온 고장이 늘어날 것으로 보인다.",예측형,미정,현재,불확실,예측형-미정-현재-불확실
"시베리아 역병의 사례처럼 우리가 이미 갖고 있던 감염병, 그리고 신종 감염이 동물을 매개로, 혹은 직접 접촉을 통해 전세계로 확산할 수 있다.",대화형,미정,미래,불확실,대화형-미정-미래-불확실
대뇌 작전이라지만 저정도로 할 정도면 그렇게 긴박한 상황이었나?,대화형,미정,과거,불확실,대화형-미정-과거-불확실
유독 사망자가 한국에서만 나오는 이유가 뭘까?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
"과연 지금 한국의 기업, 사회, 국가는 어느 쪽에 가까울까?",대화형,미정,현재,불확실,대화형-미정-현재-불확실
＂ 성동구청과 성동경찰으로 옮겨 왕십리 진주역 왕십리역 일대로 이런 긴장감을 조성할 수 있을까. ＂,대화형,미정,미래,불확실,대화형-미정-미래-불확실
＂ 향후 국내 보급 계획은? ＂,대화형,미정,현재,불확실,대화형-미정-현재-불확실
불안하고 위험한 환경이 인간의 선택으로 하여금 편리함과 안전을 선택하게 할 때 미래 사회는 어떻게 될까?,대화형,미정,미래,불확실,대화형-미정-미래-불확실
"시베리아 역병 의 사례처럼 우리가 익히 알고 있던 감염병, 혹은 신종 감염병이 동물을 매개로, 혹은 사회적 접촉을 하면 전 세계로 확산할 수 있습니다.",대화형,미정,미래,불확실,대화형-미정-미래-불확실
근데 과연 백양협식회에서 백종원과 같이 간 경험이 가능할까.,대화형,미정,미래,불확실,대화형-미정-미래-불확실
길죽한 쌀과 구워놓은 밥이 비슷할 수조차 없지않겠나.,대화형,부정,현재,불확실,대화형-부정-현재-불확실
"우리의 바리스타가 바둑이 되어 곳곳에 숨어 있는 흐르는 사랑, 인간다짐은 어디에 있는지?",대화형,미정,현재,불확실,대화형-미정-현재-불확실
국보 1호♡ 숭례문 현판은 누가 썼나요?,대화형,미정,과거,불확실,대화형-미정-과거-불확실
왜 공주와 단종의 해복자는 관노의 시대에 살았는가.,대화형,미정,과거,불확실,대화형-미정-과거-불확실
제월호 태풍 마이삭 ( KYSAE ) 이 오는 2 ~ 3일 전국에 강한 바람과 그 일부 폭발의 400㎜의 물폭탄이 시작된다!,예측형,미정,미래,불확실,예측형-미정-미래-불확실
""" 임신 확진자가 환자나 신생아에게 코로나19를 통과시킬수 있다 "" ＂",대화형,미정,미래,불확실,대화형-미정-미래-불확실
"하지만, 뇌가 기능성 ( neuro - basticle ) 의 생각일까?",대화형,미정,미래,불확실,대화형-미정-미래-불확실
"시베리아 역병 의 말처럼 우리는 이미 알고 있던 질병, 혹은 신종 감염병이 동물의 매개로,하여 직접 접촉을 통해 전세포로 확산시킬 수 있습니다.",대화형,미정,미래,불확실,대화형-미정-미래-불확실
그래서 양군은 형편없는 겁주였는가?,대화형,미정,과거,불확실,대화형-미정-과거-불확실
서방 학자들이 흔히 범하는 희망적 사고나 확증 편향 오류였을까.,대화형,미정,과거,불확실,대화형-미정-과거-불확실
산속에서 호환를 피할 수 없을까.,대화형,미정,미래,불확실,대화형-미정-미래-불확실
""" 저의 산모와 신생아는 같은 공간에서 지낼 수 있을까요? ＂",대화형,미정,미래,불확실,대화형-미정-미래-불확실
서방 학자들이 과거에 범하던 희망적 사고나 확증 편향 오류가 있다.,대화형,미정,과거,불확실,대화형-미정-과거-불확실
""" 임신 확진자가 태아와 신생아한테 코로나19로 통과 시킬 수 있나요? """,대화형,미정,미래,불확실,대화형-미정-미래-불확실
갑자기 아파트가 흔들리는 이유는 왜일까.,대화형,미정,현재,불확실,대화형-미정-현재-불확실
"금요일인 1주일 밤부터 루머가 많다가 흐려져 서울과 그 사이 서울, 경기 진주 · 강원 중남 진주 내륙, 서울과 전남 진주, 진주 진주, 서울 지방에 태풍이 오는 이유가 있겠다.",예측형,미정,미래,불확실,예측형-미정-미래-불확실
그러면 그중에서 가장체험이 좋았던 부분은 어디일까?,대화형,미정,과거,불확실,대화형-미정-과거-불확실
기자님 1호♡ 숭례문 현판은 누가 썼나요?,대화형,미정,과거,불확실,대화형-미정-과거-불확실
이 어떻게의 의학에서는 레이어효과효과를 무기처럼 인정하지 않앗 왜 ㅋㅋ,대화형,부정,현재,불확실,대화형-부정-현재-불확실
하지만 이건 약간의 편견 아닌가?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
""" 아기 "" 나 보고는은 어떤가여. ＂",대화형,미정,현재,불확실,대화형-미정-현재-불확실
"시베리아 역병의 사례처럼 우리가 이미 갖고 있는 감염병. 그리고 그 감염은 동물을 무기로, 혹은 직접 접촉을 통해 전세계로 전파 수 수도 있다.",대화형,미정,미래,불확실,대화형-미정-미래-불확실
영화이 흔들리었던 이유가 뭐일까?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
영국년의한 16치와 영국과 프란치스코 교황은 언제에서 일어났는가.,대화형,미정,과거,불확실,대화형-미정-과거-불확실
＂ 노인일자리 증가를 비판하는 게 지겹지 않으냐? ＂,대화형,부정,현재,불확실,대화형-부정-현재-불확실
한일 음반산업의 당면한 문제의 해결책은 한일 협력에서 찾아보는 것은 어떨까.,대화형,미정,미래,불확실,대화형-미정-미래-불확실
그러면 그중에 가장체험이 많았던 온천은 어디냐.,대화형,미정,과거,불확실,대화형-미정-과거-불확실
사업을하고 나서 위만 누르면 끝난다는걸 믿었어요?,대화형,미정,과거,불확실,대화형-미정-과거-불확실
당시 20살대 미국인을 가장 큰 공포에 몰아넣은 것은 2002년도에 대공황 때문이 아니었을까.,대화형,미정,과거,불확실,대화형-미정-과거-불확실
"AI가 바리스타와 바둑기사가 되어 곳곳에서 사람을 밀어내는 지금, 인간다워 이란 어디에도?",대화형,미정,현재,불확실,대화형-미정-현재-불확실
""" 기존 음식과 다른 점은 뭘까요? ＂",대화형,미정,현재,불확실,대화형-미정-현재-불확실
"하지만, 뭐가 신경 가소성 효과일까요?",대화형,미정,미래,불확실,대화형-미정-미래-불확실
＂ 코로나19에 확진된 영아도 마스크를 착용해야 하나?!,대화형,미정,현재,불확실,대화형-미정-현재-불확실
＂ 성동구청과 성동경찰으로 옮겨 서울경찰역 왕십리역 일대기로 비즈니스 타운을 조성할 수 있다.!,대화형,미정,미래,불확실,대화형-미정-미래-불확실
남자와 여자가 대화가 될 수 있을까요?,대화형,미정,미래,불확실,대화형-미정-미래-불확실
"정보화 시대에는 아침에 일어나 잠들어서 화면에서 뇌로 정보를 전달받으며 타인의 공간 속에서 존재한다. 낮에 이루어지는 모든 순간의 대화가 정말 내입 속에 있는 것일까, 아니면 정보일까?",대화형,미정,현재,불확실,대화형-미정-현재-불확실
모유수유 유아에게 COBID - 19가 연상될 가능성은 뭐임?,대화형,미정,미래,불확실,대화형-미정-미래-불확실
"과연, 뇌가 기능성 ( neuro - plastic 등 ) 무슨 생각일까?",대화형,미정,미래,불확실,대화형-미정-미래-불확실
근래 들어 동물 소재 영화가 범람하는 이유는 무엇일까.,대화형,미정,현재,불확실,대화형-미정-현재-불확실
그래서 A군은 형편없는 남주였는가?,대화형,미정,과거,불확실,대화형-미정-과거-불확실
저 공주랑 결혼한 녀자는 관노가 몸을이었을까.,대화형,미정,과거,불확실,대화형-미정-과거-불확실
"오늘 돈키호테에서, 용감한 영웅인가.",대화형,미정,현재,불확실,대화형-미정-현재-불확실
국내 유통공학은 어떤 생존 전략을 준비 하고 있나.,대화형,미정,현재,불확실,대화형-미정-현재-불확실
힙합 영화의 스윙인가요?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
국내 남녀공학은 어떤 생존 전략을 준비 하고 있나.,대화형,미정,현재,불확실,대화형-미정-현재-불확실
오! 어떻게 아내의 필적 이렇게 무시당하지?,대화형,부정,현재,불확실,대화형-부정-현재-불확실
"아침에 일어나서 잠이 들 때까지 스크린을 통한 정보를 뇌에 입력받으며 정보의 홍수 속에 자신을 영화화했다. 과연 하루 동안 내리는 다양한 의사결정의 평가는 과연 나 일까, 아니면 나의 뇌 속에 들어와 있는 정보 일까.",대화형,미정,현재,불확실,대화형-미정-현재-불확실
PC나 스마트폰으로 버벅일걸 알아야 하는가?,대화형,미정,미래,불확실,대화형-미정-미래-불확실
"The P2O, Onic to Offline, The 기반 오프라인'가 현재 1위, 2위로 차지하고 있는 주식부자와 맞아 떨어질때가 작년 한 해의 장악 · 합병 ( M & I ) 를 통해 인지도를 높이거나 균형선을 잡아 나감에서 향후 분야에서 경쟁이 더욱 치열해질 전망이다.",예측형,미정,미래,불확실,예측형-미정-미래-불확실
"이 역병 의 말 처럼 우리는 이미 알고 있던 것, 혹은 신종 감염의 동물의 왕국로, 하여 직접 온라인을 통해 전세포로 확산시킬 수 있다.",대화형,미정,미래,불확실,대화형-미정-미래-불확실
세종시 아파트가 들썩인 이유가 무엇일까.,대화형,미정,현재,불확실,대화형-미정-현재-불확실
"시베리아 역병 의 사례처럼 우리가 이미 알고 있던 감염병, 혹은 신종 질병이 동물을 매개로, 혹은 직접 접촉을 통해 전세계로 확산할 수 있습니다.",대화형,미정,미래,불확실,대화형-미정-미래-불확실
"이 소나기가 내리는 지역에는 돌풍과 함께 천둥 · 번개가 맞는 곳이 있겠고, 중부 내륙에서 물 블박이 떨어지는 것도 모르겠습니다.",예측형,미정,미래,불확실,예측형-미정-미래-불확실
이달 24일부터 27일까지는 스페인 바르셀로나에서 열리는 세계 최고의 모바일 전시회인 모바일월드콩그레스 ( 단독 ) 에 참가하는 국내 업체도 있을 전망이다.,예측형,부정,현재,불확실,예측형-부정-현재-불확실
하지만 그것이 나만의 편견인가.,대화형,미정,현재,불확실,대화형-미정-현재-불확실
한편 17일 낮 기온이 전날 대비 3. 5도 내외로 올라 평년 수준이 조금 낮겠다.,예측형,미정,미래,불확실,예측형-미정-미래-불확실
공짜 선물 주는 것에 반대할 도민들이 있나?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
신종 코로나바이러스 감염증 ( 우한 폐렴 ) 사태 수습하고 내수 정상화에 힘쓰야 할 중국이 미국과 약속하는 2000억달러 ( 약 2조원 ) 추가 기부를 제대로 이행하기는 어려울 것이다.,예측형,부정,미래,불확실,예측형-부정-미래-불확실
"왜, 영화에 있는 건 왜일까요?",대화형,미정,현재,불확실,대화형-미정-현재-불확실
＂ 5G와 인공지능 ( AI ) 의 진화로 가져올 미래는 어떤 모습일까?.,대화형,미정,미래,불확실,대화형-미정-미래-불확실
그런데 본인은요?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
"토론토 블루레이스의 첫 목표로 2020년 메이저리그에 선발 등판하는 류현진, 33 % 의 올해 성적표는 어떨까.",대화형,미정,미래,불확실,대화형-미정-미래-불확실
"인공지능이 기계와 기계가 돼 사람들을 사방에 내몰고 있는 지금, 인도주의는 어디 있는가?",대화형,미정,현재,불확실,대화형-미정-현재-불확실
미래에 패스트푸드 시장은쯤 될까요?,대화형,미정,미래,불확실,대화형-미정-미래-불확실
""" 이번에 개발된 코로나19 검사법은 무엇인가요? """,대화형,미정,현재,불확실,대화형-미정-현재-불확실
세종시 아파트가 들썩거리는 이유는 무엇일까.,대화형,미정,현재,불확실,대화형-미정-현재-불확실
"이튿날인 24일 아침최저기온 날이 17 ~ 23일, 낮뜨추억의 26 ~ 32도를 기록할 전망이다.",예측형,미정,미래,불확실,예측형-미정-미래-불확실
해상에서는 서해을 중심으로 돌풍과 화산 천둥 · 번개가 치는구나 있다.,예측형,미정,미래,불확실,예측형-미정-미래-불확실
"해상에서는 서해 등을 중심으로 화산과 화산이, 번개가 치는 이유가 있다.",예측형,미정,미래,불확실,예측형-미정-미래-불확실
그런데 필자만의 생각일까.,대화형,미정,현재,불확실,대화형-미정-현재-불확실
코로나19 확진 진단까지 받은 가수들도 마스크를 기부해야 하나요.?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
백내장 진단을 받았더라도 입원치료를 받을 만큼 특별한 상황이었다는 사실을 입증하지 않으면 30만원 이상의 보험금을 주기 어려울 것으로 예상된다.,예측형,부정,미래,불확실,예측형-부정-미래-불확실
하지만 현실은 어떨까요?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
남자는 어찌 부인이 결혼 할 일이 없다고 하여서 이혼한 것인가.,대화형,부정,과거,불확실,대화형-부정-과거-불확실
국보 1호♡ 숭례문 현판은 누가 썼나요 ~,대화형,미정,과거,불확실,대화형-미정-과거-불확실
＂코로나19로 확진된 영아도 마스크를 착용해야 하나?＂,대화형,미정,현재,불확실,대화형-미정-현재-불확실
""" 확진된 아이와 아기가 어느 드라마에서 나올 수 있을까요 ""?",대화형,미정,미래,불확실,대화형-미정-미래-불확실
긴 나물과 안긴 나물과 비슷 할 수 있다.,대화형,부정,현재,불확실,대화형-부정-현재-불확실
""" 서비스를 제시할 때마다, 보는 장소마다 관객들에게 서로 다른 서비스를 제시해야 하지 않을까? """,대화형,미정,미래,불확실,대화형-미정-미래-불확실
"과연 지금 한국의 기업. 사회, 국가는 어느 쪽에 있을까?",대화형,미정,현재,불확실,대화형-미정-현재-불확실
＂ 확진 임신부나 태아나 신생아에게 코로나를 전염될 수 있나?.,대화형,미정,미래,불확실,대화형-미정-미래-불확실
13일달에는 경기 남부와 같은 지방에 제주도가 오는 곳이 있겠다.,예측형,미정,미래,불확실,예측형-미정-미래-불확실
""" 임신하면 미성년자나 청소년에게 코로나19를 전염시킬수 있을까요? ＂",대화형,미정,미래,불확실,대화형-미정-미래-불확실
한일 관광산업이 직면한 문제의 해법을 한일 협력에서 찾아보는 것은 어떨까.,대화형,미정,미래,불확실,대화형-미정-미래-불확실
＂ 확진된 환자와쟁이가 같이 친하 같이 지내도 되나?.,대화형,미정,미래,불확실,대화형-미정-미래-불확실
＂에서 개발된 코로나19 검사인가?!,대화형,미정,현재,불확실,대화형-미정-현재-불확실
